Model	Signature.28	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Unknown
ALL-17	0	0.82142856	0	0	0	0	0	0.071313494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099169405	0	0.008088541
ALL-19	0	0.59693033	0	0	0	0	0.138713198	0	0	0	0.125286875	0	0	0	0	0.090025147	0	0	0	0	0	0	0	0	0	0	0	0	0.049044451
ALL-25	0	0.845105191	0	0	0	0	0.154894809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-26	0	0.684001824	0	0	0	0	0.138655931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124563681	0	0.052778564
ALL-27	0	0.947429015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052570985
ALL-28	0	0.739801148	0	0	0	0	0	0	0	0	0	0	0.125906792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13429206
ALL-29	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-30	0	0.97021296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02978704
ALL-31	0	0.757959754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132324385	0	0.10971586
ALL-32	0	0.990911579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009088421
ALL-33	0	0.970033153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029966847
ALL-39	0	0.993849003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006150997
ALL-42	0	0.7783526	0	0	0	0	0	0	0	0	0.19994036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02170704
ALL-43	0	0.989497329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010502671
ALL-46	0	0.332094833	0	0	0	0	0.571664018	0	0	0	0.096241149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-47	0	0.982419408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017580592
ALL-50	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-51	0	0.922821241	0	0	0	0	0	0.072888583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004290176
ALL-52	0	0.833249812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131068464	0	0	0	0	0	0	0	0	0	0	0	0.035681724
ALL-53	0	0.864847462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089486182	0	0	0	0	0	0	0.045666356
ALL-54	0	0.731607296	0	0	0	0	0.098044469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106996004	0	0.06335223
ALL-55	0	0.894509243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068990257	0	0	0	0	0	0	0.0365005
ALL-56	0	0.997241561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002758439
ALL-57	0	0.842012167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114921669	0	0.043066165
ALL-58	0	0.709685999	0	0	0	0	0	0	0	0	0	0	0	0.242491124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047822877
ALL-59	0	0.923371157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076628843
ALL-60	0	0.867706561	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08852923	0	0	0	0	0	0	0	0	0	0	0	0	0.043764209
ALL-61	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-63	0	0.773037146	0	0	0	0	0.220697225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006265629
ALL-75	0	0.930650794	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069349206	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-80	0	0.937057274	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062942726	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-81	0	0.678319223	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321680777	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-82	0	0.939339855	0.060660145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-83	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-84	0	0.747201361	0	0	0	0	0.128070983	0	0	0	0	0	0	0	0	0.124727656	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-85	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-87	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-88	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-90	0	0.992022514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007977486
ALL-91	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-93	0	0.539859701	0	0	0	0	0.257963056	0	0	0	0	0	0	0	0	0.202177243	0	0	0	0	0	0	0	0	0	0	0	0	1.11E-16
ALL-94	0	0.824193272	0	0	0	0	0.082110241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078263332	0	0.015433156
ALL-95	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-97	0	0.893981984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071635387	0	0.034382629
ASPS-KY	0	0.944724138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055275862
BT-27	0	0.123784495	0	0	0	0	0.562675113	0.118085196	0	0	0	0	0	0	0	0.104820258	0.073951977	0	0	0	0	0	0	0	0	0	0	0	0.016682961
BT-29	0	0.72279873	0	0	0	0	0	0	0	0	0.140875404	0	0	0	0	0.136325867	0	0	0	0	0	0	0	0	0	0	0	0	0
CHLA-258	0	0.527170283	0	0.125266467	0	0	0.206572606	0	0	0	0.130351087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010639557
CHLA-79	0	0.385466025	0	0.143392982	0	0.087970365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223528599
COG-N-415x	0	0.336342491	0	0	0	0.233644904	0.087041694	0	0	0	0	0	0	0	0	0	0	0	0.08618924	0	0	0	0	0	0	0	0	0	0.256781672
COG-N-421x	0	0.523571982	0	0	0	0	0.175535291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10684383	0	0	0	0	0	0	0
COG-N-424x	0	0.808165644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128205159	0	0	0	0	0	0	0.063629198
COG-N-426x-Felix-PDX	0	0.662455549	0	0.201472661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.080664808	0	0	0	0	0	0	0	0.055406982
COG-N-440x	0	0.311063405	0	0	0	0	0.398812159	0	0	0	0.105767599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123829871
COG-N-452x	0	0.783892814	0	0	0	0	0	0	0	0	0.159364156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05674303
COG-N-453x	0	0.598818874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276909551	0	0	0	0	0	0	0	0	0	0.124271575
COG-N-471x	0	0.841401549	0	0	0	0	0	0	0	0	0.106296981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05230147
COG-N-480x	0	0.744619515	0	0	0	0	0.118809725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094417264	0	0.042153496
COG-N-496x	0	0.973038571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026961429
COG-N-519x	0	0.535439856	0	0	0	0	0	0	0	0	0.071549502	0	0	0	0	0.205324776	0	0	0	0	0	0	0	0	0	0.10621889	0	0	0.081466976
COG-N-549x	0	0.584150215	0	0	0	0	0.34186826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073981525	0	0	0	0
COG-N-557x	0	0.779199826	0	0.09869163	0	0	0	0	0	0	0.090129965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031978578
COG-N-560x	0	0.48978064	0	0	0	0	0.383729372	0.099305801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027184187
COG-N-561x	0	0.561681992	0	0	0	0	0	0	0	0	0.106770286	0	0	0	0	0.145404897	0	0	0	0	0	0	0	0	0	0	0.124900535	0	0.06124229
COG-N-564x	0	0.638426698	0	0.243401807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035423256
COG-N-589x	0	0.928375186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071624814
COG-N-590x	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG-N-603x	0	0.462239177	0	0	0	0	0	0	0	0	0.529051602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008709221
COG-N-618x	0	0.343836491	0	0.241605248	0.104146539	0	0	0	0	0	0	0	0	0	0	0	0	0.117104924	0	0	0	0	0	0.172808415	0	0	0	0	0.020498383
COG-N-619x	0	0.780811819	0	0	0.202124233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017063948
COG-N-620x	0	0.432514144	0	0	0	0	0.157325008	0	0	0	0.080998806	0	0	0	0	0	0.077551147	0	0	0	0	0	0	0	0.088255247	0	0.111918866	0	0.051436783
COG-N-623x	0	0.071089149	0	0.193438022	0	0	0	0	0	0	0.105297175	0	0	0	0	0	0	0	0	0	0	0	0	0.119927368	0	0	0	0	0.041091044
COG-N-624x	0	0.425650812	0	0.248302299	0	0	0.095564442	0	0	0	0.084784626	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095162245	0	0	0	0.050535577
COG-N-625x	0	0.696050605	0	0.180944842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09896146	0	0	0	0.024043093
COG-N-628x	0	0.849801469	0	0.128474943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021723588
ES-1	0	0.728449012	0	0	0	0	0	0	0	0	0.06529695	0	0	0	0	0.089325571	0.072129369	0	0	0	0	0	0	0	0	0	0	0	0.044799098
ES-4	0	0.839879119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098237143	0	0	0	0	0	0	0	0	0	0	0	0.061883738
ES-6	0	0.474157041	0	0	0	0.117533467	0.18848939	0	0	0	0.078434902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1413852
ES-8	0	0.544981577	0	0.125223757	0	0	0	0	0	0	0.064012064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087873206	0	0.04563256
ETP-1	0	0.606980604	0	0	0	0	0.280098733	0	0	0	0	0	0.086037931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026882732
ETP-2	0	0.647222391	0	0	0	0	0.085620656	0	0	0	0	0	0	0	0	0.252334928	0	0	0	0	0	0	0	0	0	0	0	0	0.014822024
ETP-3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETP-4	0	0.886230423	0	0	0	0	0.113769577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETP-5	0	0.854568407	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145431593	0	0	0	0	0	0	0	0	0	0	0	0	0
ETP-6	0	0.979741996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020258004
EW-5	0	0.890810338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086896523	0	0	0	0	0	0	0.02229314
EW-8	0	0.323177956	0	0	0	0	0.183331689	0	0	0	0	0	0	0	0	0	0	0	0.140270415	0	0	0	0	0	0	0	0.082982993	0	0.150435798
G401	0	0.597871791	0	0	0	0	0.099492789	0	0	0	0	0	0	0	0	0	0.189087967	0	0	0	0	0	0	0	0	0	0	0	0.048870928
IBs-2373PNET	0	0.589956028	0	0.128221297	0	0	0.142389183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061593287	0	0	0	0.077840205
IC-1499EPB	0	0.686344681	0	0	0	0	0.104649298	0	0	0	0	0	0	0	0	0	0.115944214	0	0	0	0	0.067620142	0	0	0	0	0	0	0.025441666
IC-1621GBM	0	0.413930666	0	0	0	0	0	0	0	0	0	0	0	0	0	0.547607672	0	0	0	0	0	0	0	0	0	0	0	0	0.038461662
IC-2664PNET	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IC-22909PNET-rIII	0	0.931826885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068173115
IC-3635PXA	0	0.934592255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065407745
IC-3704GBM	0	0.892125947	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107874053	0	0	0	0	0	0	0	0	0	0	0	0	0
IC-6634GBM	0	0.509626628	0	0	0	0	0	0.171445366	0	0	0	0	0	0	0	0.259094276	0	0	0	0	0	0	0	0	0	0	0	0	0.05983373
IC-9635EPN	0	0.833480242	0	0.098024001	0	0	0.068495757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IC-9811EPN	0	0.80139965	0	0.072774892	0	0	0.072812346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053013112
ICb-10593ATRT	0	0.719562768	0	0	0	0	0.198891787	0	0	0	0.06295212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018593326
ICb-10614EPN	0	0.915812296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084187704
ICb-1218ATRT	0	0.81667624	0	0	0	0	0	0.077462285	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068042617	0	0	0	0	0	0	0.037818858
ICb-1338MB	0	0.865757348	0	0	0	0	0.094725901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039516751
ICb-1343ENB	0	0.75835218	0	0	0	0	0.188008369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053639451
ICB-1744MB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICb-2002EPN	0	0.683717879	0	0	0	0	0.153518218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110189051	0	0.052574852
ICb-2123MB	0	0.897688135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071471368	0	0	0	0	0	0	0.030840497
ICb-2555MB	0	0.96350961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03649039
ICb-3130MB	0	0.82654242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079954149	0	0.093503431
ICb-5108ATRT	0	0.966492237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033507763
ICb-5323EPN	0	0.589069073	0	0	0	0	0.274244017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067713418	0	0.068973492
ICb-5610MB	0	0.741700847	0	0	0	0	0	0.082322881	0	0	0	0	0	0	0	0.074188547	0	0	0	0	0	0	0	0	0	0	0.101787725	0	0
ICb-6753ATRT	0	0.811981987	0	0.161804118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026213895
ICb-9508MB	0	0.396928681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109201919	0	0	0	0.391623405	0	0.074851282	0.027394713
ICb-9850PNET	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICb-L1115ATRT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICb-S1129MB	0	0.972153903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027846097
IRS-56	0	0.639217903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23391709	0	0.126865007
IRS-68	0	0.81459034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106910294	0	0	0	0.062182462	0	0	0	0	0	0	0	0.016316904
KT-10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KT-11	0	0.984230991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015769009
KT-12	0	0.519791702	0	0	0	0	0.240735347	0.086128438	0	0.102847518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050496995
KT-13	0	0.663361003	0	0.125465128	0	0	0	0	0	0	0	0	0	0	0	0.185573145	0	0	0	0	0	0	0	0	0	0	0	0	0.025600724
KT-14	0	0.825500208	0	0	0	0	0	0	0	0	0.109772293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064727499
KT-18	0	0.552342203	0	0	0	0	0.25429255	0	0	0	0	0	0	0	0	0	0.136046756	0	0	0	0	0	0	0	0	0	0	0	0.057318492
KT-5	0	0.940068409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059931591
KT-6	0	0.895945586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104054414
KT-8	0	0.686137592	0	0	0	0	0	0	0	0	0.133332978	0	0	0	0	0	0.158131931	0	0	0	0	0	0	0	0	0	0	0	0.022397498
KT-9	0	0.909936245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090063755
MLL-1	0	0.866637281	0	0	0	0	0.067870736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065491984
MLL-14	0	0.473703544	0	0	0	0	0.201581415	0.12849646	0	0	0	0	0	0	0	0.156480521	0	0	0	0	0	0	0	0	0	0	0	0	0.039738061
MLL-2	0	0.842608139	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078549887	0	0	0	0	0	0	0	0	0	0	0.078841974	0	0
MLL-3	0	0.988076028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011923972
MLL-5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLL-6	0	0.891184873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067971321	0	0	0	0	0	0	0	0	0	0	0	0.040843806
MLL-7	0	0.599887397	0	0.08060258	0	0	0.244479946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075030076
MLL-8	0	0.961870905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038129095
MLL-86	0	0.974312618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025687382
NB-1382	0	0.651563004	0	0.174368449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070636966	0	0	0	0.10343158
NB-1643	0	0.840119019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132689213	0	0	0	0	0	0	0	0	0	0.027191768
NB-1691	0	0.75812508	0	0	0	0	0	0	0	0	0.167820641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005529742
NB-1771	0	0.725682846	0	0.134198055	0	0	0	0	0	0	0.064660086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01343929
NB-EBc1	0	0.177461023	0	0.102121209	0	0.170507205	0.125503755	0.068012024	0	0	0.095605224	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159395805	0	0	0	0.101393755
NB-Fly-623m	0	0.96951998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03048002
NB-SD	0	0.525150865	0	0	0	0	0	0	0	0	0.074138407	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17357173	0	0	0	0.090438507
NCH-ARMS-2-NCH-S13-7484	0	0.63918748	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104369618	0	0	0	0	0	0	0	0	0	0.1009127	0	0	0.155530202
NCH-CA-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCH-CA-2	0	0.366013975	0	0	0.067251553	0	0	0	0.140276836	0	0	0	0	0	0	0.068899506	0	0	0	0	0	0	0	0	0.094599349	0	0	0	0.161701145
NCH-CA-3	0	0.804116512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113055827	0	0.082827661
NCH-CCS-1	0	0.924045925	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071835304	0	0	0	0	0	0	0	0	0	0	0	0	0.004118771
NCH-ERMS-1-NCH-RMS-1	0	0.917200551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064621837	0	0.018177613
NCH-EWS-1	0	0.797331878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169561476	0	0	0	0	0	0	0	0	0	0	0	0.033106646
NCH-HEP1	0	0.705402982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178905415	0	0	0	0	0	0	0	0	0	0	0	0.115691603
NCH-MB-1	0	0.763148975	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207467141	0	0	0	0	0	0	0	0	0	0	0	0	0.029383884
NCH-MN-1	0	0.560482284	0	0.127479678	0	0	0.208314879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103723158
NCH-NB-1	0	0.929356847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070643153	0	0
NCH-OS-1	0	0.536814231	0	0	0	0	0.224654085	0	0	0	0	0	0.168451972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070079712
NCH-PXA-1	0	0.771719957	0	0.100693333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12758671
NCH-RBD-1	0	0.823607877	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069618663	0.10677346	0	0	0	0	0	0	0	0	0	0	0	0
